                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.81729,                 1.4413,                 1.1897,                 1.2945,                0.53792,                0.71448,                0.59472,                0.45623,                0.52318,                0.69552,                0.56926,                0.44124,                0.76261,                 1.5555,                 1.1448,                 1.3016,             0.00093385,             0.00093385,             0.00093385
                     73,                0.79182,                 1.4197,                 1.1861,                 1.2709,                 0.5334,                0.67577,                0.58502,                0.45068,                0.52702,                0.65195,                0.56786,                0.43836,                 0.7912,                 1.6594,                 1.1473,                 1.3364,             0.00092678,             0.00092678,             0.00092678
                     74,                0.84293,                 1.4354,                 1.2152,                 1.3093,                0.54184,                0.73655,                0.61883,                0.47242,                0.52924,                0.71669,                0.59973,                0.46144,                0.76551,                 1.5403,                 1.1727,                 1.3273,              0.0009197,              0.0009197,              0.0009197
                     75,                0.79678,                  1.377,                 1.1788,                 1.2858,                0.55989,                0.69414,                0.59437,                0.45425,                0.52713,                0.69288,                0.57683,                0.44167,                0.76502,                 1.6288,                 1.1187,                 1.3102,             0.00091263,             0.00091263,             0.00091263
                     76,                0.82378,                 1.4788,                 1.1885,                 1.3074,                0.52386,                 0.7058,                0.61331,                0.48004,                0.51867,                0.67432,                0.59776,                0.47132,                0.72455,                 1.5523,                 1.1803,                 1.2579,             0.00090556,             0.00090556,             0.00090556
                     77,                0.80807,                   1.43,                 1.1684,                 1.2893,                0.55455,                0.70043,                0.62026,                0.48025,                0.53985,                0.67875,                0.60827,                0.47228,                0.74764,                 1.6429,                 1.1487,                 1.2831,             0.00089848,             0.00089848,             0.00089848
                     78,                0.77866,                 1.3513,                 1.1403,                 1.2602,                 0.5528,                0.67803,                0.62141,                0.47588,                0.55031,                0.66878,                0.60727,                0.46811,                0.73036,                 1.5074,                 1.1004,                 1.2703,             0.00089141,             0.00089141,             0.00089141
                     79,                0.78167,                 1.3957,                  1.154,                  1.252,                0.59467,                0.67504,                0.60655,                0.46797,                 0.5804,                0.66047,                0.58166,                0.46225,                  0.783,                 1.5859,                 1.1708,                 1.3052,             0.00088434,             0.00088434,             0.00088434
                     80,                0.78259,                 1.4045,                 1.1716,                 1.2576,                0.49103,                0.74488,                0.57712,                0.44512,                0.47921,                0.72787,                0.55225,                0.42945,                0.71257,                 1.5132,                  1.205,                 1.2611,             0.00087726,             0.00087726,             0.00087726
                     81,                0.79395,                 1.3903,                 1.1601,                 1.2854,                0.53713,                0.75015,                 0.6308,                0.48602,                0.51953,                0.72607,                0.60359,                0.47419,                0.73161,                 1.5855,                 1.1082,                 1.2723,             0.00087019,             0.00087019,             0.00087019
                     82,                0.76239,                  1.323,                 1.1532,                 1.2568,                0.56175,                0.72063,                0.64242,                0.49647,                0.53109,                 0.7196,                0.62044,                0.48381,                0.71821,                  1.569,                 1.1034,                 1.2728,             0.00086312,             0.00086312,             0.00086312
